bucket_id,alpha,beta,threshold_mode,threshold_source_bucket,is_weak
ROOT,0.4,0.2,bucket_wise,ROOT,False
L1_ever_delay=has_delay,0.4,0.2,bucket_wise,L1_ever_delay=has_delay,False
L1_ever_delay=has_delay|L2_max_delay_bin=medium,0.3,0.0,bucket_wise,L1_ever_delay=has_delay|L2_max_delay_bin=medium,False
L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=low_limit,0.3,0.1,bucket_wise,L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=low_limit,False
L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=high_limit,0.4,0.2,bucket_wise,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=high_limit,False
L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=mid_limit,0.7,0.6,bucket_wise,L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=mid_limit,False
L1_ever_delay=no_delay,0.4,0.2,bucket_wise,ROOT,True
L1_ever_delay=has_delay|L2_max_delay_bin=mild,0.4,0.2,bucket_wise,L1_ever_delay=has_delay,True
L1_ever_delay=has_delay|L2_max_delay_bin=others,0.4,0.2,bucket_wise,L1_ever_delay=has_delay,True
L1_ever_delay=no_delay|L2_max_delay_bin=none,0.4,0.2,bucket_wise,ROOT,True
L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=low_limit,0.3,0.0,bucket_wise,L1_ever_delay=has_delay|L2_max_delay_bin=medium,True
L1_ever_delay=has_delay|L2_max_delay_bin=medium|L3_LIMIT_BAL=others,0.3,0.0,bucket_wise,L1_ever_delay=has_delay|L2_max_delay_bin=medium,True
L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=high_limit,0.4,0.2,bucket_wise,L1_ever_delay=has_delay,True
L1_ever_delay=has_delay|L2_max_delay_bin=mild|L3_LIMIT_BAL=mid_limit,0.4,0.2,bucket_wise,L1_ever_delay=has_delay,True
L1_ever_delay=no_delay|L2_max_delay_bin=none|L3_LIMIT_BAL=low_limit,0.4,0.2,bucket_wise,ROOT,True
